date-time, SO2-flux-a (kg/s), error (kg/s)
2016-05-31T00:19:30.000Z,7.36400463,3.572569444
2016-05-31T00:28:22.000Z,18.44409722,8.948032407
2016-05-31T00:54:47.000Z,1.862037037,0.903356481
2016-05-31T01:03:32.000Z,0.743287037,0.360532407
2016-05-31T01:40:33.000Z,1.911111111,0.927199074
2016-05-31T02:02:44.000Z,1.235300926,0.599305556
2016-05-31T02:33:47.000Z,2.011805556,0.976041667
2016-05-31T23:08:43.000Z,0.715625,0.347222222
2016-06-01T23:24:56.000Z,0.76,0.37
2016-06-02T00:31:03.000Z,0.66,0.32
2016-06-02T00:35:25.000Z,0.91,0.44
2016-06-02T00:39:47.000Z,0.66,0.32
2016-06-04T00:41:30.000Z,0.43,0.21
2016-06-04T00:45:54.000Z,0.74,0.36
2016-06-04T01:03:28.000Z,0.12,0.06
2016-06-04T01:41:49.000Z,0.1,0.05
2016-06-04T01:44:39.000Z,0.54,0.26
2016-06-04T01:47:30.000Z,0.24,0.12
2016-06-04T01:50:21.000Z,0.84,0.41
2016-06-04T01:55:55.000Z,0.25,0.12
2016-06-04T02:23:49.000Z,0.8,0.39
2016-06-04T02:41:39.000Z,0.42,0.2
2016-06-11T00:01:51.000Z,2.86,1.39
2016-06-11T00:10:39.000Z,0.69,0.34
2016-06-11T00:23:52.000Z,2.33,1.13
2016-06-11T00:28:16.000Z,1.05,0.51
2016-06-11T00:32:42.000Z,6.7,3.25
2016-06-11T00:37:05.000Z,1.1,0.54
2016-06-11T00:41:28.000Z,1,0.48
2016-06-11T00:50:12.000Z,0.47,0.23
2016-06-11T00:54:35.000Z,1.24,0.6
2016-06-11T01:39:26.000Z,0.28,0.13
2016-06-11T01:47:55.000Z,0.81,0.39
2016-06-11T23:21:56.000Z,2.07,1
2016-06-11T23:35:14.000Z,1.92,0.93
2016-06-11T23:39:40.000Z,1.93,0.93
2016-06-11T23:44:07.000Z,2.15,1.04
2016-06-12T00:01:51.000Z,2.17,1.05
2016-06-12T00:06:17.000Z,1.92,0.93
2016-06-12T00:19:36.000Z,3.37,1.63
2016-06-12T00:50:39.000Z,1.1,0.53
2016-06-12T00:59:31.000Z,3.1,1.5
2016-06-12T23:26:22.000Z,3.95,1.91
2016-06-12T23:39:41.000Z,3.76,1.82
2016-06-13T00:10:39.000Z,0.84,0.41
2016-06-13T00:32:42.000Z,1.94,0.94
2016-06-13T00:37:04.000Z,0.91,0.44
2016-06-13T00:50:11.000Z,0.53,0.26
2016-06-13T01:54:29.000Z,1.77,0.86
2016-06-13T22:50:55.000Z,1.16,0.56
2016-06-15T21:57:39.000Z,1.782060185,0.864583333
2016-06-15T22:37:34.000Z,0.316898148,0.153819444
2016-06-15T22:55:19.000Z,3.731597222,1.810300926
2016-06-15T23:13:03.000Z,1.113194444,0.540046296
2016-06-15T23:21:55.000Z,1.230902778,0.597106481
2016-06-15T23:35:13.000Z,3.925578704,1.904513889
2016-06-16T00:01:49.000Z,13.68136574,6.637384259
2016-06-16T00:19:28.000Z,2.541782407,1.233101852
2016-06-16T00:41:33.000Z,0.684027778,0.331828704
2016-06-16T00:50:17.000Z,1.120949074,0.543865741
2016-06-16T01:50:29.000Z,1.06712963,0.517708333
2016-06-16T02:13:25.000Z,1.947800926,0.944907407
2016-06-16T02:22:17.000Z,1.264930556,0.613657407
2016-06-16T23:21:56.000Z,0.84,0.41
2016-06-17T00:06:13.000Z,2.58,1.25
2016-06-17T00:10:37.000Z,1.41,0.68
2016-06-17T00:41:23.000Z,0.31,0.15
2016-06-17T00:45:50.000Z,0.58,0.28
2016-06-17T00:50:14.000Z,0.29,0.14
2016-06-17T01:44:54.000Z,0.25,0.12
2016-06-17T01:47:44.000Z,0.24,0.12
2016-06-17T01:50:34.000Z,0.61,0.3
2016-06-18T23:17:30.000Z,5.58,2.7
2016-06-19T00:37:19.000Z,3.69,1.79
2016-06-19T00:46:09.000Z,1.74,0.84
2016-06-19T00:59:26.000Z,0.84,0.41
2016-06-19T01:25:43.000Z,2.19,1.06
2016-06-19T01:30:06.000Z,0.33,0.16
2016-06-22T23:03:25.000Z,1.762152778,0.854861111
2016-06-23T02:32:04.000Z,0.459143519,0.222800926
2016-06-23T02:40:56.000Z,0.689930556,0.334722222
2016-06-24T00:15:05.000Z,1.411458333,0.684722222
2016-06-24T00:32:48.000Z,2.396990741,1.162962963
2016-06-24T00:37:14.000Z,7.762731481,3.766087963
2016-06-24T00:50:21.000Z,10.15648148,4.927314815
2016-06-24T00:59:07.000Z,0.419097222,0.203356481
2016-06-24T01:05:36.000Z,0.881018519,0.427430556
2016-06-24T01:42:24.000Z,1.022800926,0.496180556
2016-06-24T03:16:46.000Z,0.908217593,0.440625
2016-06-26T00:04:18.000Z,6.340393519,3.076041667
2016-06-26T00:13:04.000Z,2.79224537,1.35462963
2016-06-26T00:21:53.000Z,2.284606481,1.108333333
2016-06-26T00:30:40.000Z,1.738078704,0.843171296
2016-06-26T00:43:48.000Z,0.967592593,0.469444444
2016-06-26T00:52:33.000Z,0.688773148,0.334143519
2016-06-26T01:37:14.000Z,0.127314815,0.061805556
2016-06-26T01:42:48.000Z,0.16412037,0.07962963
2016-06-26T01:54:03.000Z,2.105671296,1.021527778
2016-06-26T01:59:37.000Z,1.572106481,0.762731481
2016-06-26T02:09:42.000Z,4.255902778,2.064699074
2016-06-26T02:45:12.000Z,0.678703704,0.329282407
2016-06-27T01:17:09.000Z,10.34537037,5.018981481
2016-06-27T01:52:36.000Z,4.463541667,2.165509259
2016-06-27T02:19:14.000Z,3.542592593,1.718634259
2016-06-27T02:36:59.000Z,4.631018519,2.246759259
2016-06-27T02:45:51.000Z,6.473958333,3.140856481
2016-06-27T02:54:43.000Z,5.391666667,2.615740741
2016-06-27T03:03:36.000Z,1.027314815,0.49837963
2016-06-27T03:12:28.000Z,1.813541667,0.879861111
2016-06-27T03:30:13.000Z,1.208101852,0.586111111
2016-06-27T03:39:05.000Z,3.426851852,1.6625
2016-06-27T22:59:45.000Z,1.914467593,0.928819444
2016-06-27T23:39:45.000Z,3.399537037,1.649305556
2016-06-28T00:06:21.000Z,1.860763889,0.902777778
2016-06-28T00:19:32.000Z,6.022569444,2.921759259
2016-06-28T00:32:42.000Z,8.258912037,4.006712963
2016-06-28T00:37:06.000Z,1.461805556,0.709143519
2016-06-28T00:45:50.000Z,1.537384259,0.745833333
2016-06-28T00:54:35.000Z,0.238310185,0.115625
2016-06-28T00:58:57.000Z,0.969675926,0.470486111
2016-06-28T01:37:04.000Z,0.33125,0.160763889
2016-06-28T01:53:52.000Z,1.374074074,0.666550926
2016-06-28T02:07:57.000Z,6.355787037,3.083449074
2016-06-28T02:30:07.000Z,2.823726852,1.369907407
2016-06-28T02:39:00.000Z,1.061458333,0.514930556
2016-06-28T03:01:10.000Z,2.284259259,1.108217593
2016-06-28T03:10:03.000Z,3.429282407,1.663657407
2016-06-28T03:18:55.000Z,0.895833333,0.434606481
2016-06-28T03:27:47.000Z,1.149652778,0.55775463
2016-06-29T22:19:50.000Z,0.594328704,0.288310185
2016-06-29T22:32:34.000Z,0.420486111,0.204050926
2016-06-30T01:34:25.000Z,0.690972222,0.335185185
2016-06-30T01:56:20.000Z,0.481828704,0.233796296
2016-06-30T02:14:06.000Z,2.532175926,1.228472222
2016-06-30T02:36:16.000Z,0.817824074,0.396759259
2016-07-01T21:44:21.000Z,1.040509259,0.504861111
2016-07-01T22:02:05.000Z,1.0625,0.515509259
2016-07-01T22:10:57.000Z,1.969444444,0.955439815
2016-07-01T22:33:08.000Z,0.670138889,0.325115741
2016-07-01T23:08:37.000Z,2.311111111,1.121180556
2016-07-02T00:06:17.000Z,3.215625,1.560069444
2016-07-02T00:15:06.000Z,0.810300926,0.393171296
