Volcano Name	VNUM	Latitude	Longitude	Region	Sub-region	Volcano Type	Unit name	Eruption start day	Eruption start month	Eruption start year	Year BP	Date Error	Dating technique	Date quality	Alternate values	Citation	Tephra fall deposit volume	Qualifier	Error	Alternate values	Citation	Tephra fall DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Magma Type	Magma Density	Magnitude	Qualifier	Derivation	Alternate values	Citation	VEI	Qualifier	Derivation	Alternate values	Citation	Column height Min	Citation	Column height Max	Citation	Column height Average	Citation	Alternate values	Intensity Min	Citation	Intensity Max	Citation	Intensity Average	Citation	Alternate values
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Polovinka caldera				432000		Ar-Ar	High quality	No	Bindeman et al (2010)																																				42	>		?	Yes	Bindeman et al (2010)	16.8	>		?	No		Andesite		6.6		Calculated	Yes		6		Literature	Yes	Smithsonian Pleistocene Database							No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Polovinka caldera				432000		Ar-Ar	High quality	No	Bindeman et al (2010)																																				42	>		?	Yes	Smithsonian Pleistocene Database	16.8	>		?	No		Andesite		6.6		Calculated	Yes		6		Literature	Yes	Smithsonian Pleistocene Database							No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Stena-Sobliny ignimbrite				1130000		Ar-Ar	High quality	No	Bindeman et al (2010)																																				100			0	Yes	Bindeman et al (2010)	40			0	Yes		Not Available		7		Calculated	Yes		7		Literature	No	Smithsonian Pleistocene Database							No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Stena-Sobliny ignimbrite				1130000		Ar-Ar	High quality	No	Bindeman et al (2010)																																				100			0	Yes	Smithsonian Pleistocene Database	40			0	Yes		Not Available		7		Calculated	Yes		7		Literature	No	Smithsonian Pleistocene Database							No							No
Akagi	283130	36.557	139.196	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Kanuma Pumice (Ag-KP)				44200		Not Available	Not Entered	No	Hayakawa (2009)	10			No	Machida (1981)	4			?	No																										25.9			1	Yes	Suzuki (1996)	2.2			1	No	Suzuki (1996)	Andesite		5.7		Literature	No	Hayakawa (2009)	5	?	Literature	Yes	Smithsonian Pleistocene Database							No							No
Akagi	283130	36.557	139.196	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	"Yunokuchi, Yunoguchi (Ag-UP)"				57000		Not Available	Low quality	No	Hayakawa (2009)																																				5.1			1	No	Smithsonian Pleistocene Database	1.23			1	No	Suzuki (1996)	Not Available		5.4		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
Akagi	283130	36.557	139.196	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	"Yunokuchi, Yunoguchi (Ag-UP)"				57000		Not Available	Low quality	No	Hayakawa (2009)																																				5.1			1	No	Suzuki (1996)	1.23			1	No	Suzuki (1996)	Not Available		5.4		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
Akagi	283130	36.557	139.196	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Namegawa 1 (Nm-1)				60000		Not Available	Low quality	No	Hayakawa (2009)																																				2			1	No	Suzuki (1996)	0.48			1	No	Suzuki (1996)	Not Available		5.1		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
Akagi	283130	36.557	139.196	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Namegawa 1 (Nm-1)				60000		Not Available	Low quality	No	Hayakawa (2009)																																				2			1	No	Smithsonian Pleistocene Database	0.48			1	No	Suzuki (1996)	Not Available		5.1		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
Akagi	283130	36.557	139.196	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Namegawa 2 (Nm-2)				63000		Not Available	Low quality	No	Hayakawa (2009)																																				2.9			1	No	Smithsonian Pleistocene Database	0.7			1	No	Suzuki (1996)	Not Available		5.3		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
